"ids" "gender" "race" "grade" "toa"
1 "female" "white" 12 NA
2 "male" "white" 11 NA
3 "female" "white" 11 8
4 "female" "white" 9 4
5 "male" "white" 12 4
6 "male" "white" 10 5
7 "female" "hispanic" 11 9
8 "male" "white" 12 7
9 "male" "white" 10 NA
10 "male" "white" 11 5
11 "male" "white" 9 6
12 "male" "white" 12 6
13 "female" "white" 11 6
14 "female" "white" 11 3
15 "female" "white" 10 8
16 "female" "white" 11 5
17 "female" "white" 9 7
18 "male" "white" 11 6
19 "male" "white" 12 7
20 "female" "white" 9 5
21 "female" "white" 10 5
22 "male" "white" 11 7
23 "female" "white" 9 9
24 "male" "white" 10 7
25 "female" "white" 12 6
26 "female" "white" 12 5
27 "male" "white" 9 8
28 "male" "white" 11 2
29 "female" "white" 9 10
30 "male" "white" 12 5
31 "male" "other" 12 7
32 "male" "white" 11 7
33 "female" "white" 10 6
34 "male" "white" 9 5
35 "female" "white" 9 2
36 "male" "white" 11 NA
37 "male" "white" 11 NA
38 "female" "white" 11 7
39 "female" "hispanic" 9 NA
40 "female" "white" 9 6
41 "female" "white" 10 NA
42 "male" "white" 10 6
43 "female" "white" 11 7
44 "male" "white" 10 6
45 "female" "white" 10 4
46 "male" "hispanic" 12 1
47 "male" "white" 9 4
48 "female" "white" 10 7
49 "male" "hispanic" 10 NA
50 "male" "white" 9 5
51 "male" "white" 11 5
52 "female" "white" 12 NA
53 "female" "white" 11 7
54 "female" "white" 10 4
55 "male" "white" 12 2
56 "male" "white" 11 2
57 "male" "white" 9 6
58 "male" "hispanic" 12 NA
59 "male" "hispanic" 9 NA
60 "male" "white" 10 4
61 "female" "white" 9 NA
62 "female" "white" 10 6
63 "female" "white" 11 3
64 "male" "white" 12 4
65 "female" "white" 12 1
66 "female" "white" 10 5
67 "female" "white" 11 8
68 "female" "hispanic" 9 6
69 "male" "white" 9 9
70 "female" "white" 10 8
71 "male" "white" 12 NA
72 "female" "white" 11 6
73 "male" "white" 9 4
74 "female" "white" 12 6
75 "female" "white" 10 3
76 "male" "white" 12 6
77 "male" "white" 9 2
78 "male" "other" 9 1
79 "female" "white" 12 4
80 "male" "white" 10 NA
81 "female" "white" 11 4
82 "female" "white" 12 3
83 "female" "hispanic" 10 7
84 "female" "white" 11 8
85 "male" "white" 9 NA
86 "female" "white" 9 10
87 "male" "white" 9 6
