"Academic decathalon"	"Art Club"	"Asian Club"	"Band, 8th"	"Band, Jazz"	"Band, Marching (Symphonic)"	"Baseball, JV (10th)"	"Baseball, V"	"Basketball, boys 8th"	"Basketball, boys 9th"	"Basketball, boys JV"	"Basketball, boys V"	"Basketball, girls 8th"	"Basketball, girls 9th"	"Basketball, girls JV"	"Basketball, girls V"	"Cheerleaders, 8th"	"Cheerleaders, 9th"	"Cheerleaders, JV"	"Cheerleaders, Spirit Squad"	"Cheerleaders, V"	"Chess Club"	"Choir, a capella"	"Choir, barbershop quartet (4 men)"	"Choir, chamber singers"	"Choir, concert"	"Choir, treble"	"Choir, vocal ensemble (4 women)"	"Choir, women's ensemble"	"Close-up"	"Cross Country, boys 8th"	"Cross Country, boys V"	"Cross Country, girls 8th"	"Cross Country, girls V"	"Debate"	"Drill Team"	"Drunk Driving"	"Drunk Driving Officers"	"Football, 8th"	"Football, 9th"	"Football, V"	"Forensics"	"Forensics (National Forensics League)"	"French Club (high)"	"French Club (low)"	"French NHS"	"Full IB Diploma Students (12th)"	"German Club"	"German NHS"	"Golf, boys V"	"Hispanic Club"	"Internships"	"Junior Class Board"	"Key Club"	"Latin Club"	"Newspaper Staff"	"NHS"	"Orchestra, 8th"	"Orchestra, Full Concert"	"Orchestra, Symphonic"	"PEER"	"Pep Club"	"Pep Club Officers"	"Quiz-Bowl (all)"	"Science Olympiad"	"Soccer, V"	"Softball, JV (10th)"	"Softball, V"	"Spanish Club"	"Spanish Club (high)"	"Spanish NHS"	"STUCO"	"Swim & Dive Team, boys"	"Swim & Dive Team, girls"	"Teachers of Tomorrow"	"Tennis girls V"	"Tennis, boys V"	"Theatre Productions"	"Thespian Society (ITS)"	"Track, boys 8th"	"Track, boys V"	"Track, girls 8th"	"Track, girls V"	"Volleyball, 8th"	"Volleyball, 9th"	"Volleyball, JV"	"Volleyball, V"	"Wrestling, 8th"	"Wrestling, V"	"Yearbook Contributors"	"Yearbook Editors"
"101498"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"104452"	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"104456"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"104462"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"104471"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"105215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"106517"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"106569"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"106572"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"106587"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"106592"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"106604"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
