"ids"	"type"	"gender"	"grade96"	"grade97"	"race"	"missing96"	"missing97"
101498	"student"	"female"	11	12	"white"	0	0
104452	"student"	"male"	9	10	"black"	0	0
104456	"student"	"female"	9	10	"white"	0	0
104462	"student"	"male"	9	10	"black"	0	0
104471	"student"	"female"	9	10	"black"	0	0
105215	"student"	"female"	11	12	"white"	0	0
106517	"student"	"female"	9	10	"black"	0	0
106569	"student"	"male"	8	9	"black"	0	0
106572	"student"	"female"	8	9	"black"	0	0
106587	"student"	"female"	9	10	"black"	0	0
106592	"student"	"male"	8	9	"black"	0	0
106604	"student"	"female"	8	9	"black"	0	0
106606	"student"	"female"	8	9	"black"	0	0
106609	"student"	"male"	10	11	"black"	0	0
106621	"student"	"male"	8	9	"black"	0	0
106709	"student"	"female"	9	10	"black"	0	0
106732	"student"	"male"	7	8	"black"	1	0
109492	"student"	"male"	11	12	"white"	0	0
109493	"student"	"male"	11	12	"white"	0	0
113047	"student"	"male"	11	12	"Hispanic"	0	0
113050	"student"	"male"	11	12	"white"	0	0
113053	"student"	"female"	11	12	"white"	0	0
113060	"student"	"male"	11	12	"white"	0	0
113105	"student"	NA	NA	NA	NA	1	1
113107	"student"	"male"	10	11	"white"	0	0
113122	"student"	"female"	10	11	"white"	0	0
113123	"student"	"female"	10	11	"white"	0	0
113127	"student"	"female"	10	11	"white"	0	0
113137	"student"	"female"	10	11	"white"	0	0
113140	"student"	"male"	10	11	"black"	0	0
113168	"student"	"female"	9	10	"white"	0	0
113204	"student"	"male"	9	10	"white"	0	0
113211	"student"	"female"	9	10	"Hispanic"	0	0
113214	"student"	"female"	9	10	"white"	0	0
113243	"student"	"female"	8	9	"white"	0	0
113429	"student"	"female"	10	11	"white"	0	0
113433	"student"	"male"	10	11	"white"	0	0
113479	"student"	"female"	10	11	"black"	0	0
113694	"student"	"male"	11	12	"Hispanic"	0	0
113719	"student"	"female"	10	11	"white"	0	0
113939	"student"	"female"	11	12	"black"	0	0
113958	"student"	"male"	11	12	"black"	0	0
114002	"student"	"male"	11	12	"white"	0	0
114010	"student"	"female"	11	12	"white"	0	0
114015	"student"	"female"	11	12	"white"	0	0
114025	"student"	"male"	11	12	"black"	0	0
114037	"student"	"female"	11	12	"black"	0	0
114071	"student"	"female"	10	11	"white"	0	0
114073	"student"	"female"	10	11	"white"	0	0
114076	"student"	"male"	10	11	"white"	0	0
114078	"student"	"male"	10	11	"white"	0	0
114085	"student"	"male"	10	11	"white"	0	0
114097	"student"	"female"	10	11	"black"	0	0
114111	"student"	"female"	10	11	"black"	0	0
114126	"student"	"male"	9	10	"white"	0	0
114134	"student"	"male"	9	10	"white"	0	0
114144	"student"	"male"	9	10	"white"	0	0
114148	"student"	"male"	11	12	"white"	0	0
114187	"student"	"female"	8	9	"white"	0	0
114189	"student"	"male"	8	9	"white"	0	0
114227	"student"	"male"	8	9	"white"	0	0
114233	"student"	"male"	7	8	"white"	1	0
114235	"student"	"male"	7	8	"black"	1	0
114239	"student"	"male"	7	8	"white"	1	0
114240	"student"	"female"	7	8	"black"	1	0
114242	"student"	"female"	7	8	"white"	1	0
114248	"student"	"female"	7	8	"white"	1	0
114493	"student"	"female"	11	12	"black"	0	0
114671	"student"	"female"	11	12	"white"	0	0
114679	"student"	"male"	11	12	"Asian"	0	0
114684	"student"	"male"	11	12	"white"	0	0
114746	"student"	"male"	10	11	"white"	0	0
114841	"student"	"male"	11	12	"white"	0	0
114843	"student"	"female"	11	12	"black"	0	0
114844	"student"	"male"	11	12	"white"	0	0
114849	"student"	"male"	11	12	"white"	0	0
114850	"student"	"female"	11	12	"white"	0	0
114875	"student"	"female"	11	12	"white"	0	0
114885	"student"	"male"	11	12	"black"	0	0
114920	"student"	"female"	10	11	"white"	0	0
114934	"student"	"female"	10	11	"black"	0	0
114945	"student"	"female"	11	12	"black"	0	0
114977	"student"	"female"	11	12	"Asian"	0	0
114988	"student"	"female"	9	10	"black"	0	0
114992	"student"	"male"	9	10	"white"	0	0
115075	"student"	"female"	11	12	"black"	0	0
115094	"student"	"female"	10	11	"black"	0	0
115101	"student"	"female"	10	11	"black"	0	0
115166	"student"	"male"	10	11	"black"	0	0
115180	"student"	"female"	9	10	"white"	0	0
115182	"student"	"male"	9	10	"black"	0	0
115212	"student"	"male"	9	10	"black"	0	0
115229	"student"	"female"	9	10	"black"	0	0
115383	"student"	"female"	11	12	"white"	0	0
115433	"student"	"male"	10	11	"white"	0	0
115460	"student"	"female"	10	11	"white"	0	0
115477	"student"	"male"	11	12	"white"	0	0
115782	"student"	"female"	11	12	"black"	0	0
115805	"student"	"female"	11	12	"black"	0	0
115830	"student"	"female"	11	12	"black"	0	0
115841	"student"	"male"	10	11	"black"	0	0
115909	"student"	"female"	9	10	"black"	0	0
116231	"student"	"female"	11	12	"black"	0	0
116686	"student"	"female"	11	12	"black"	0	0
116724	"student"	"male"	11	12	"black"	0	0
116749	"student"	"male"	11	12	"white"	0	0
116862	"student"	"female"	10	11	"white"	0	0
117378	"student"	"female"	11	12	"black"	0	0
117447	"student"	"male"	10	11	"black"	0	0
117464	"student"	"male"	10	11	"white"	0	0
117492	"student"	"male"	10	11	"black"	0	0
117506	"student"	"female"	10	11	"white"	0	0
117509	"student"	"male"	10	11	"black"	0	0
117511	"student"	"male"	10	11	"white"	0	0
117524	"student"	"female"	10	11	"black"	0	0
117526	"student"	"female"	11	12	"black"	0	0
117543	"student"	"female"	10	11	"black"	0	0
117622	"student"	"female"	8	9	"black"	0	0
117666	"student"	"male"	7	8	"white"	1	0
117690	"student"	"female"	7	8	"black"	1	0
117723	"student"	"male"	6	7	"white"	1	1
117808	"student"	"male"	11	12	"Asian"	0	0
117828	"student"	"male"	10	11	"white"	0	0
117878	"student"	"female"	9	10	"black"	0	0
117958	"student"	"male"	7	8	"white"	1	0
117977	"student"	"female"	9	10	"black"	0	0
118430	"student"	"female"	8	9	"white"	0	0
118466	"student"	"male"	9	10	"Asian"	0	0
118473	"student"	"female"	8	9	"white"	0	0
