"ids"	"type"	"missing96"	"missing97"	"race"	"gender"	"grade96"	"grade97"	"club_type_detailed"	"club_profile"	"club_feeder"	"club_type_gender"	"club_type_grade"
"101498"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"104452"	"student"	0	0	"black"	"male"	9	10	NA	NA	NA	NA	NA
"104456"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"104462"	"student"	0	0	"black"	"male"	9	10	NA	NA	NA	NA	NA
"104471"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"105215"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"106517"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"106569"	"student"	0	0	"black"	"male"	8	9	NA	NA	NA	NA	NA
"106572"	"student"	0	0	"black"	"female"	8	9	NA	NA	NA	NA	NA
"106587"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"106592"	"student"	0	0	"black"	"male"	8	9	NA	NA	NA	NA	NA
"106604"	"student"	0	0	"black"	"female"	8	9	NA	NA	NA	NA	NA
"106606"	"student"	0	0	"black"	"female"	8	9	NA	NA	NA	NA	NA
"106609"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"106621"	"student"	0	0	"black"	"male"	8	9	NA	NA	NA	NA	NA
"106709"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"106732"	"student"	1	0	"black"	"male"	7	8	NA	NA	NA	NA	NA
"109492"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"109493"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"113047"	"student"	0	0	"Hispanic"	"male"	11	12	NA	NA	NA	NA	NA
"113050"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"113053"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"113060"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"113105"	"student"	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113107"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"113122"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"113123"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"113127"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"113137"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"113140"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"113168"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"113204"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"113211"	"student"	0	0	"Hispanic"	"female"	9	10	NA	NA	NA	NA	NA
"113214"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"113243"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"113429"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"113433"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"113479"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"113694"	"student"	0	0	"Hispanic"	"male"	11	12	NA	NA	NA	NA	NA
"113719"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"113939"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"113958"	"student"	0	0	"black"	"male"	11	12	NA	NA	NA	NA	NA
"114002"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"114010"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"114015"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"114025"	"student"	0	0	"black"	"male"	11	12	NA	NA	NA	NA	NA
"114037"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"114071"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"114073"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"114076"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"114078"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"114085"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"114097"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"114111"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"114126"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"114134"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"114144"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"114148"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"114187"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
