"sender" "receiver"
113214 121470
113214 125522
113214 149552
113214 122728
113214 122706
115909 127535
115909 144882
115909 138473
115909 125567
121470 126359
121470 122728
121470 144882
122706 151812
122706 139163
122706 122710
122706 113214
122710 122706
122710 113214
122710 151812
122710 122723
122714 122726
122714 122734
122723 144882
122723 113214
122723 121470
122723 122710
122723 151812
122724 122734
122724 125522
122724 122732
122724 140271
122726 122734
122726 129483
122726 122714
122726 122732
122728 122732
122728 113214
122728 121470
122732 122728
122732 122723
122732 113214
122732 122726
122734 144882
122734 140271
122734 122726
122734 121470
122734 122714
125522 113214
125522 122724
125522 127535
125522 122723
125567 138473
125567 149552
125567 127535
126359 121470
126359 151812
126359 122732
126359 113214
127535 144882
127535 125522
127535 125567
127535 115909
127535 149552
128033 138473
128033 122714
128033 140271
128033 122723
138473 122706
138473 122710
138473 128033
138473 125567
139163 122710
139163 127535
139163 122723
139163 122706
140271 149552
140271 151812
140271 122724
140271 128033
141006 129483
141006 139163
141006 149552
141006 122706
144882 127535
144882 121470
144882 115909
144882 139163
144882 113214
149552 141006
149552 127535
149552 113214
149552 122706
149552 125567
151812 122710
151812 140271
151812 122723
