"id","gender","grade","race"
1,"Male",12,"White"
2,"Female",12,"White"
3,"Female",12,"White"
4,"Female",12,"White"
5,"Male",12,"White"
6,"Female",12,"White"
7,"Male",11,"Black"
8,"Male",11,"White"
9,"Male",11,"White"
10,"Female",11,"White"
11,"Female",10,"White"
12,"Female",10,"White"
13,"Male",10,"White"
14,"Male",10,"White"
15,"Female",10,"White"
16,"Male",10,"White"
17,"Female",10,"White"
18,"Female",10,"White"
19,"Female",10,"White"
20,"Female",10,"White"
21,"Female",10,"White"
22,"Female",10,"White"
23,"Female",10,"White"
24,"Female",10,"White"
