sender,receiver,weight
1,3,1
1,5,1
1,7,1
1,21,1
2,3,1
2,6,1
3,6,1
3,8,1
3,16,1
3,24,1
4,13,1
4,18,1
7,1,1
7,9,1
7,10,1
7,16,1
8,3,1
8,9,1
8,13,1
9,5,1
9,8,1
10,6,1
10,14,1
10,19,1
10,20,1
10,24,1
11,12,1
11,15,1
11,18,1
11,24,1
12,11,1
12,15,1
12,24,1
13,8,1
14,10,1
14,13,1
14,19,1
14,21,1
14,24,1
15,10,1
15,11,1
15,13,1
15,14,1
15,24,1
16,3,1
16,5,1
16,9,1
16,19,1
17,8,1
17,13,1
17,18,1
17,23,1
17,24,1
18,13,1
18,17,1
18,23,1
18,24,1
19,14,1
19,16,1
19,20,1
19,21,1
20,19,1
20,21,1
20,24,1
21,5,1
21,19,1
21,20,1
22,23,1
23,5,1
23,13,1
23,17,1
23,18,1
24,6,1
24,10,1
24,14,1
24,15,1
24,21,1
