"ids" "gender" "prestige" "research_type" "subject"
1 NA "low prestige" "quantitative" 1
2 1 "low prestige" "qualitative" 24
3 0 "low prestige" "quantitative" 20
4 0 "low prestige" "quantitative" 7
5 1 "low prestige" "quantitative" 19
6 NA "low prestige" "quantitative" 3
7 NA "low prestige" "qualitative" 29
8 NA "low prestige" "quantitative" 21
9 NA "low prestige" "quantitative" 26
10 NA "low prestige" "quantitative" 14
11 NA "low prestige" "quantitative" 21
12 NA "low prestige" "qualitative" 14
13 1 "low prestige" "quantitative" 9
14 NA "low prestige" "quantitative" 20
15 NA "low prestige" "quantitative" 19
16 0 "low prestige" "quantitative" 20
17 0 "low prestige" "qualitative" 21
18 1 "low prestige" "quantitative" 21
19 NA "low prestige" "quantitative" 21
20 1 "low prestige" "quantitative" 1
21 0 "low prestige" "qualitative" 24
22 NA "low prestige" "quantitative" 9
23 NA "low prestige" "quantitative" 8
24 NA "low prestige" "quantitative" 20
25 NA "low prestige" "quantitative" 18
26 NA "low prestige" "quantitative" 20
27 1 "low prestige" "quantitative" 20
28 NA "low prestige" "quantitative" 19
29 0 "low prestige" "quantitative" 21
30 NA "low prestige" "quantitative" 19
31 NA "low prestige" "qualitative" 26
32 0 "low prestige" "qualitative" 21
33 0 "low prestige" "quantitative" 21
34 0 "low prestige" "quantitative" 19
35 0 "low prestige" "quantitative" 21
36 0 "low prestige" "mixed" 21
37 0 "low prestige" "quantitative" 21
38 1 "high prestige" "qualitative" 1
39 0 "low prestige" "qualitative" 21
40 0 "low prestige" "quantitative" 24
41 0 "low prestige" "quantitative" 3
42 0 "low prestige" "qualitative" 21
43 0 "low prestige" "qualitative" 24
44 1 "low prestige" "quantitative" 19
45 0 "low prestige" "qualitative" 21
46 1 "low prestige" "qualitative" 12
47 1 "low prestige" "qualitative" 10
48 NA "low prestige" "quantitative" 21
49 1 "low prestige" "quantitative" 4
50 1 "low prestige" "quantitative" 20
51 0 "low prestige" "quantitative" 10
52 1 "low prestige" "mixed" 21
53 0 "low prestige" "qualitative" 21
54 NA "low prestige" "quantitative" 21
55 1 "low prestige" "quantitative" 21
56 1 "low prestige" "quantitative" 21
57 1 "low prestige" "mixed" 19
58 0 "low prestige" "quantitative" 20
59 1 "low prestige" "quantitative" 21
