"sender" "receiver"
14 24
134 151
6 170
15 212
19 219
267 283
40 312
59 312
311 313
327 331
328 332
307 352
355 357
386 388
425 429
430 431
83 434
435 436
452 453
458 476
515 523
382 528
239 531
509 541
115 551
478 563
220 583
327 599
331 599
423 609
26 610
393 614
645 646
657 662
674 675
675 677
421 680
633 688
300 697
470 701
82 721
124 726
621 728
365 739
749 759
740 762
709 769
77 784
786 787
65 790
617 813
611 816
814 818
77 820
784 820
621 822
728 822
823 824
426 840
768 840
166 870
665 884
105 886
739 898
427 928
372 947
372 948
945 950
907 977
233 990
783 992
775 993
976 994
775 1020
993 1020
1021 1022
976 1025
994 1025
1007 1035
1074 1075
115 1088
551 1088
493 1113
783 1123
992 1123
997 1135
893 1138
1147 1148
119 1165
677 1169
677 1170
515 1176
516 1176
518 1176
523 1176
677 1184
1170 1184
232 1192
1093 1197
1144 1218
26 1243
747 1255
757 1273
236 1305
1277 1313
1293 1327
464 1331
389 1340
476 1346
1284 1355
1352 1364
23 1367
24 1367
1264 1375
151 1378
132 1384
840 1395
235 1399
34 1404
1197 1412
1443 1444
864 1453
511 1481
1410 1482
1464 1495
505 1497
1510 1512
1511 1513
261 1556
62 1559
1007 1560
1035 1560
347 1602
419 1605
81 1606
1621 1625
329 1630
349 1641
1431 1694
1185 1700
507 1712
488 1722
1338 1736
1746 1755
970 1759
111 1766
10 1769
853 1781
311 1783
313 1783
1635 1794
1806 1807
732 1811
1373 1817
1763 1822
1531 1823
1701 1826
1615 1837
1670 1837
1675 1839
876 1848
172 1852
1379 1879
1892 1893
1720 1894
285 1906
1864 1917
572 1953
1019 1963
250 1972
738 1973
739 1973
1167 1983
511 1998
1481 1998
164 2008
834 2013
169 2020
419 2027
1605 2027
788 2034
1347 2037
1201 2048
427 2064
928 2064
1263 2068
1776 2077
1802 2079
1301 2080
2086 2087
1671 2095
1439 2096
1555 2104
204 2136
797 2136
585 2138
2035 2140
1191 2143
2150 2151
1183 2157
1297 2161
56 2163
1848 2164
2181 2182
1119 2187
1049 2190
2129 2192
188 2196
857 2198
2097 2208
328 2210
332 2210
1230 2240
696 2243
1097 2245
888 2270
1319 2286
202 2290
341 2317
933 2361
1437 2369
1464 2372
1585 2378
700 2394
2396 2397
2100 2400
2113 2402
356 2403
210 2406
1559 2410
1039 2425
2315 2429
475 2431
1038 2432
1040 2432
294 2438
2110 2441
700 2449
956 2462
1908 2463
804 2489
1062 2501
1094 2511
1190 2511
2089 2522
1646 2524
434 2528
2390 2531
2537 2538
2287 2553
1435 2561
956 2568
616 2581
1742 2594
2239 2604
611 2612
816 2612
440 2618
1128 2618
2236 2627
356 2631
976 2631
994 2631
1025 2631
2403 2631
810 2632
2031 2633
913 2639
1995 2667
1825 2669
2362 2674
373 2676
2689 2693
1423 2696
2685 2702
1640 2710
1901 2713
1132 2716
766 2729
997 2731
1135 2731
2495 2736
2062 2741
1011 2742
2651 2746
2152 2761
54 2762
237 2775
980 2779
2058 2790
2726 2807
2627 2816
16 2819
530 2827
1688 2827
2826 2827
2642 2845
335 2846
2544 2853
2868 2874
38 2876
966 2877
1065 2887
2662 2902
2637 2906
2900 2908
2072 2918
560 2920
2348 2927
2924 2928
282 2935
287 2935
288 2935
560 2936
2920 2936
1888 2950
479 2960
1848 2963
1944 2986
2972 2998
663 3013
2856 3029
180 3039
3054 3055
664 3063
1323 3075
3091 3092
251 3100
2994 3105
1597 3111
168 3129
581 3140
1067 3144
1428 3153
1695 3159
1784 3161
2026 3162
1522 3170
1286 3175
3061 3182
2785 3186
2502 3188
1317 3194
2017 3199
1213 3205
1083 3227
1607 3228
56 3233
3110 3237
2029 3238
2642 3240
2844 3240
2845 3240
2970 3242
2162 3243
1978 3247
2201 3254
560 3256
2920 3256
2936 3256
1538 3277
1825 3278
2669 3278
2476 3286
2338 3288
233 3294
1033 3294
3229 3298
1949 3300
393 3301
614 3301
472 3318
3297 3324
1176 3325
1770 3333
745 3342
887 3345
1703 3347
1729 3347
500 3391
2515 3391
125 3408
1291 3408
1859 3409
1958 3416
647 3419
1773 3428
3214 3438
2244 3453
2864 3458
2535 3465
732 3475
1811 3475
3454 3492
395 3497
2285 3505
714 3510
1176 3512
3325 3512
659 3515
82 3518
721 3518
2107 3519
2061 3522
1011 3535
1011 3536
2742 3536
1885 3537
3533 3538
781 3544
3522 3545
751 3548
3227 3551
2439 3554
1055 3555
62 3556
1559 3556
2424 3559
1350 3560
3563 3564
855 3585
3112 3590
3067 3593
952 3594
1792 3595
40 3597
312 3597
783 3608
992 3608
1123 3608
586 3609
1975 3612
2494 3614
2486 3616
704 3617
1761 3624
