"LIFE_COURSE" "SOCIOLOGY_OF_DEVIANCE" "SOCIOLOGY_OF_RACE" "MEDICAL_SOCIOLOGY" "CHILD_DEVELOPMENT" "GENDER_SEXUALITY" "METHOD_EXPERIEMENTS" "METHOD_QUANTITATIVE" "ORGANIZATIONS" "SOCIAL_MOVEMENT" "FAMILY" "HISTORICAL_SOCIOLOGY" "RELIGION" "MARRIAGE" "WORK_AND_OCCUPATION" "HOUSEHOLD" "EDUCATION" "POLITICAL_SOCIOLOGY" "MEDIA_LAW" "SOCIAL_WORK" "SOCIAL_THEORY" "METHOD_MODELING" "COMMUNITY_DEVELOPMENT" "SOCIOLOGY_OF_CULTURE" "SOCIAL_PSYCHOLOGY_ATTITUDES" "URBAN_SOCIOLOGY" "METHOD_QUALITATIVE" "SYMBOLIC_INTERACTION" "INTERNATIONAL_COMPARATIVE" "ETHNICITY" "SOCIOLOGY_OF_AGING" "ADOLESCENCE" "STRATIFICATION"
"SBS__Sociology" 742 715 445 525 905 503 803 1343 882 862 548 686 402 665 516 494 682 709 572 789 1236 1532 1063 1020 1048 687 1248 1091 941 601 644 620 1241
"H__Languages__Societies_and_Cultures" 80 103 136 51 83 205 57 120 60 95 54 115 59 71 82 48 98 69 64 43 123 113 91 217 99 74 226 238 66 85 65 69 116
"SBS__Social_and_Developmental_Psychology" 75 165 63 33 272 63 161 265 43 16 97 12 21 191 47 24 61 16 35 51 66 186 68 80 170 30 161 65 11 61 91 152 78
"H__History" 49 7 47 12 8 25 10 7 52 192 13 312 68 8 23 24 17 75 35 11 120 46 30 101 28 61 33 127 129 64 8 6 24
"SBS__Clinical_Psychology" 34 211 25 37 120 29 120 168 8 3 54 5 9 79 10 9 19 7 16 80 26 91 39 27 49 10 85 17 3 38 50 71 41
"HS__Nursing" 45 72 12 121 42 21 47 105 25 7 43 8 9 28 19 25 10 28 12 70 28 74 61 25 47 26 110 22 9 21 165 27 61
"SBS__Public_Affairs__Public_Policy__and_Planning" 54 10 22 24 21 19 16 24 64 43 14 27 12 22 32 45 13 109 25 29 40 80 76 20 37 106 34 38 88 36 25 18 155
"Ed__Special_Education_and_Guidance" 25 49 25 8 100 16 82 154 10 3 48 4 8 41 16 9 112 10 10 57 21 59 74 37 45 12 82 14 4 30 33 46 33
"SBS__Political_Science" 31 4 20 5 3 10 15 12 50 262 4 59 20 4 10 19 7 96 29 7 100 73 33 32 44 29 25 75 110 31 5 4 41
"B__Business" 33 7 16 9 14 19 27 49 162 36 15 22 6 23 80 61 12 31 14 21 40 91 50 39 52 20 44 46 69 20 16 9 58
"SBS__Anthropology" 27 10 15 18 14 23 14 13 28 45 15 65 46 9 12 21 17 18 13 8 60 35 26 99 33 43 61 160 80 56 10 11 17
"Ed__Higher_Education" 24 8 39 4 19 17 19 53 29 18 11 21 12 8 18 11 215 25 10 23 36 52 61 39 38 18 74 48 16 26 9 17 46
"SBS__Economics" 32 3 8 11 12 11 10 10 31 20 8 14 4 10 43 92 8 52 7 4 28 48 24 8 16 22 10 15 111 15 10 4 114
"HS__Public_Health" 19 30 14 100 20 17 21 37 13 8 8 6 5 7 7 24 6 20 9 21 14 41 40 12 25 21 30 14 16 17 27 73 78
"SBS__Communication_and_Information_Sciences" 18 6 15 6 15 14 23 20 32 29 12 17 9 29 7 11 7 12 57 6 42 37 23 104 37 13 49 68 19 19 6 10 13
"Ed__Education" 13 7 10 3 84 5 29 45 8 6 14 5 5 6 7 6 106 9 4 11 15 23 56 33 21 9 41 18 8 13 12 15 24
"H__Religion" 12 6 8 4 5 9 6 15 13 30 6 28 104 9 3 4 4 8 5 7 55 21 13 26 22 10 27 38 12 14 7 7 11
"Ed__Supplemental_Curricula" 11 8 7 18 12 15 20 38 11 5 6 8 11 6 5 12 22 6 5 10 12 20 41 29 23 15 33 18 14 8 12 21 13
"Ed__School_Administration" 9 1 10 1 13 4 5 21 15 5 3 3 3 3 7 6 76 15 5 7 9 15 49 10 11 8 27 8 5 5 2 3 13
"H__English_Literature" 5 2 14 1 2 9 1 0 3 8 4 34 11 2 1 2 1 2 4 1 32 5 2 122 4 4 8 43 4 14 1 1 1
"Ed__Multicultural_Education" 6 2 11 1 12 2 8 18 4 4 5 5 6 2 3 2 57 4 2 3 9 11 20 34 13 5 35 17 4 29 3 5 7
"Ed__Professional_and_Continuing_Education" 8 3 4 2 10 4 13 22 11 3 5 3 3 4 12 3 19 7 3 10 7 11 41 14 9 6 30 8 5 4 7 2 8
"H__Fine_and_Performing_Arts" 7 1 7 1 1 4 2 2 7 10 1 19 7 1 2 2 2 2 3 1 16 6 5 97 6 6 9 31 7 9 1 2 2
"HS__Medicine" 7 9 3 39 9 6 11 18 4 1 4 2 1 3 3 21 2 4 2 9 8 9 14 6 7 3 18 6 4 5 10 5 16
"Ed__Curriculum_Development" 5 1 6 1 11 2 9 12 5 3 3 3 3 1 2 2 52 3 2 6 15 10 26 19 8 4 27 12 2 5 2 3 4
