"ids" "location" "degree" "location1" "location2" "location3"
1 "city" 1 "city" NA NA
2 "city" 9 "city" "suburbs" "city"
3 "city" 2 "city" "city" NA
4 "city" 2 "city" "city" NA
5 "city" 5 "city" "city" "city"
6 "city" 5 "city" "suburbs" "city"
7 "city" 6 "city" "city" "suburbs"
8 "city" 5 "city" "city" "city"
9 "city" 3 "city" "city" "city"
10 "city" 5 "suburbs" "suburbs" "city"
11 "city" 3 "suburbs" "suburbs" "suburbs"
12 "city" 3 "city" "city" "city"
13 "city" 4 "city" "city" "city"
14 "city" 3 "city" "city" "city"
15 "city" 2 "city" "city" NA
16 "city" 5 "city" "city" "city"
17 "city" 3 "city" "city" "city"
18 "city" 7 "city" "city" "city"
19 "city" 3 "city" "city" "suburbs"
20 "city" 3 "suburbs" "suburbs" "city"
21 "city" 6 "city" "suburbs" "city"
22 "city" 7 "city" "city" "city"
23 "city" 3 "city" "city" "city"
24 "city" 2 "city" "suburbs" NA
25 "city" 2 "city" "city" NA
26 "city" 1 "city" NA NA
27 "city" 3 "city" "city" "city"
28 "city" 4 "city" "city" "city"
29 "city" 5 "city" "city" "city"
30 "city" 2 "city" "city" NA
31 "city" 8 "city" "city" "city"
32 "city" 8 "suburbs" "city" "city"
33 "city" 4 "city" "city" "city"
34 "city" 5 "city" "city" "city"
35 "city" 8 "city" "city" "city"
36 "city" 1 "city" NA NA
37 "city" 5 "city" "city" "city"
38 "city" 8 "city" "city" "city"
39 "city" 8 "city" "suburbs" "suburbs"
40 "city" 5 "city" "suburbs" "city"
41 "city" 2 "city" "suburbs" NA
42 "city" 6 "city" "suburbs" "suburbs"
43 "city" 2 "city" "city" NA
44 "city" 2 "city" "city" NA
45 "city" 1 "city" NA NA
46 "city" 5 "city" "city" "suburbs"
47 "city" 10 "city" "city" "city"
48 "city" 7 "city" "city" "city"
49 "city" 4 "city" "suburbs" "city"
50 "city" 1 "city" NA NA
51 "city" 6 "suburbs" "city" "city"
52 "city" 3 "city" "city" "city"
53 "city" 8 "city" "city" "city"
54 "city" 2 "city" "city" NA
55 "city" 4 "city" "city" "city"
56 "city" 2 "suburbs" "city" NA
57 "city" 2 "city" "city" NA
58 "city" 2 "city" "city" NA
59 "city" 3 "city" "suburbs" "city"
60 "city" 5 "city" "city" "city"
61 "city" 2 "city" "city" NA
62 "city" 2 "city" "city" NA
63 "city" 2 "city" "city" NA
