"CASEID","ALTERID","AGE","EDUC","RACE","SEX","RELIG","AGE_CATEGORICAL","EDUC_CATEGORICAL","TALKTO","SPOUSE","KIN"
19850001,1,32,18,"white","male","jewish","30s","Post Graduate",2,2,0
19850001,2,29,16,"white","female","protestant","20s","College",1,1,1
19850001,3,32,18,"white","male","jewish","30s","Post Graduate",3,2,0
19850001,4,35,16,"white","male","jewish","30s","College",3,2,1
19850001,5,29,13,"white","female","catholic","20s","Some College",2,2,0
19850002,1,42,12,"white","female","catholic","40s","HS",1,1,1
19850002,2,44,18,"white","male","jewish","40s","Post Graduate",2,2,0
19850002,3,45,16,"white","male","jewish","40s","College",1,2,0
19850002,4,40,12,"white","female","catholic","40s","HS",1,2,0
19850002,5,50,18,"white","male","jewish","50s","Post Graduate",1,2,0
19850003,1,25,16,"white","female","jewish","20s","College",2,2,0
19850003,2,24,12,"white","female","jewish","20s","HS",2,2,0
19850003,3,46,18,"white","female","jewish","40s","Post Graduate",2,2,1
19850003,4,21,16,"white","female","jewish","20s","College",1,2,1
19850003,5,35,18,"white","female","jewish","30s","Post Graduate",2,2,0
19850004,1,26,18,"white","female","none","20s","Post Graduate",1,2,0
19850004,2,27,18,"white","male","protestant","20s","Post Graduate",1,2,0
19850004,3,28,18,"white","male","none","20s","Post Graduate",3,2,0
19850004,4,27,18,"white","male","none","20s","Post Graduate",2,2,0
19850004,5,25,16,"white","female","jewish","20s","College",1,2,0
19850005,1,44,12,"white","female","catholic","40s","HS",2,2,1
19850005,2,25,13,"white","female","catholic","20s","Some College",2,2,1
19850005,3,20,13,"white","male","catholic","20s","Some College",3,2,1
19850005,4,19,13,"white","male","catholic","20s","Some College",3,2,1
19850005,5,12,8,"white","male","catholic","20s","No HS",2,2,1
19850006,1,40,16,"white","male","protestant","40s","College",4,2,1
19850006,2,35,16,"white","male","none","30s","College",2,2,0
19850006,3,44,18,"white","male","none","40s","Post Graduate",2,2,0
19850006,4,35,16,"white","female","protestant","30s","College",1,2,0
19850007,1,33,18,"white","female","jewish","30s","Post Graduate",2,2,0
19850007,2,43,16,"white","female","jewish","40s","College",2,2,0
19850007,3,41,13,"white","female","none","40s","Some College",2,2,0
19850007,4,40,18,"white","female",NA,"40s","Post Graduate",2,2,0
19850007,5,37,13,"white","male","jewish","30s","Some College",2,2,0
19850008,1,40,16,"hispanic","female",NA,"40s","College",2,2,0
19850008,2,50,NA,"white","male",NA,"50s",NA,2,2,0
19850008,3,40,12,"white","female",NA,"40s","HS",2,2,0
19850008,4,50,16,"black","male",NA,"50s","College",2,2,0
19850008,5,65,16,"other","male",NA,"60+","College",2,2,0
19850009,1,45,12,"white","female","catholic","40s","HS",1,2,1
19850009,2,84,8,"white","male","catholic","60+","No HS",1,1,1
19850010,1,65,12,"white","female","catholic","60+","HS",2,2,0
19850010,2,65,13,"white",NA,"catholic","60+","Some College",1,2,0
19850011,1,25,13,"hispanic","male","catholic","20s","Some College",2,2,1
19850011,2,31,13,"hispanic","male","catholic","30s","Some College",2,2,0
19850011,3,23,13,"hispanic","female","catholic","20s","Some College",1,1,1
19850013,1,57,12,"black","female","protestant","50s","HS",2,2,1
19850013,2,57,12,"black","female","protestant","50s","HS",3,2,0
19850013,3,73,12,"black","male","protestant","60+","HS",1,2,1
19850014,1,63,8,"black","female","protestant","60+","No HS",1,1,1
19850014,2,57,NA,"black","male","protestant","50s",NA,2,2,0
19850016,1,45,12,"white","female","catholic","40s","HS",1,2,0
19850016,2,51,18,"white","female","jewish","50s","Post Graduate",2,2,1
19850016,3,33,13,"white","female","catholic","30s","Some College",2,2,0
19850017,1,69,12,"white","male","jewish","60+","HS",1,1,1
19850017,2,NA,NA,"white","female","catholic",NA,NA,2,2,0
19850017,3,34,16,"white","male","jewish","30s","College",1,2,1
19850017,4,40,18,"white","female","jewish","40s","Post Graduate",2,2,1
