"CASEID","ALTER1","ALTER2","WEIGHT"
19850001,1,2,2
19850001,1,3,1
19850001,1,4,1
19850001,1,5,1
19850001,2,3,2
19850001,2,4,2
19850001,2,5,2
19850001,3,4,1
19850001,3,5,1
19850001,4,5,1
19850002,1,2,1
19850002,1,3,1
19850002,1,4,2
19850002,1,5,2
19850002,2,4,2
19850002,3,4,2
19850002,3,5,1
19850002,4,5,2
19850003,1,2,1
19850003,1,3,1
19850003,1,4,1
19850003,2,3,1
19850003,2,4,1
19850003,3,4,2
19850004,1,2,1
19850004,1,5,1
19850004,2,4,1
19850004,2,5,1
19850004,3,4,1
19850004,4,5,1
19850005,1,2,2
19850005,1,3,2
19850005,1,4,2
19850005,1,5,2
19850005,2,3,2
19850005,2,4,2
19850005,2,5,2
19850005,3,4,2
19850005,3,5,2
19850005,4,5,2
19850006,1,3,1
19850006,2,3,1
19850006,2,4,1
19850006,3,4,1
19850007,1,2,1
19850007,1,3,1
19850007,1,5,1
19850007,2,3,1
19850007,2,5,1
19850007,3,5,1
19850008,1,2,2
19850008,1,3,2
19850008,1,4,2
19850008,1,5,2
19850008,2,3,2
19850008,2,4,2
19850008,2,5,2
19850008,3,4,2
19850008,3,5,2
19850008,4,5,2
19850009,1,2,2
19850010,1,2,1
19850011,1,2,1
19850011,2,3,1
19850013,1,2,1
19850013,1,3,1
19850013,2,3,1
19850014,1,2,1
19850017,1,2,1
19850017,1,3,2
19850017,1,4,2
19850017,1,5,2
19850017,2,3,1
19850017,2,4,1
19850017,2,5,1
19850017,3,4,2
19850017,3,5,1
19850017,4,5,2
19850020,1,2,2
19850020,1,3,2
19850020,1,4,2
19850020,2,3,1
19850020,2,4,1
19850020,3,4,2
19850021,1,2,1
19850021,1,3,1
19850021,1,4,1
19850021,1,5,1
19850021,2,4,1
19850021,3,4,1
19850021,4,5,1
19850022,1,2,2
19850022,1,3,2
19850022,1,4,2
19850022,2,3,2
19850022,2,4,2
19850022,3,4,2
19850023,1,2,1
19850024,1,2,2
19850025,1,2,1
19850027,1,2,1
19850028,1,2,1
19850028,1,3,1
19850028,1,4,1
19850028,2,4,1
19850028,3,4,2
19850029,1,2,1
19850029,1,3,1
19850029,2,3,1
19850031,1,2,1
19850031,1,3,1
19850031,1,4,2
19850031,1,5,1
19850031,2,3,1
19850032,1,2,1
19850032,1,3,2
19850032,1,4,2
19850032,1,5,1
19850032,2,3,1
19850032,2,4,1
19850032,2,5,2
19850032,3,4,2
19850032,3,5,1
19850032,4,5,1
19850034,1,2,1
19850034,1,3,1
19850034,2,3,2
19850035,1,2,1
19850037,1,2,2
19850037,1,3,2
19850037,2,3,2
19850038,1,3,1
19850038,1,4,1
19850038,2,3,1
19850038,2,4,1
19850038,3,4,1
19850040,1,2,2
19850040,1,3,2
19850040,1,4,2
19850040,1,5,2
19850040,2,3,2
19850040,2,4,2
19850040,2,5,2
19850040,3,4,2
19850040,3,5,2
19850040,4,5,2
19850041,1,2,2
19850043,1,2,1
19850043,1,3,1
19850043,1,4,1
19850043,1,5,1
19850043,2,3,2
19850043,2,4,2
19850043,2,5,2
19850043,3,4,2
19850043,3,5,2
19850043,4,5,2
19850044,1,2,2
19850045,1,3,2
19850045,2,3,2
19850045,2,4,1
19850045,2,5,1
19850045,3,5,1
19850045,4,5,1
19850046,1,2,1
19850046,1,3,1
19850046,2,3,1
19850047,1,2,2
19850048,1,2,2
19850048,1,3,1
19850049,1,2,2
19850049,1,3,1
19850049,1,4,1
19850049,1,5,1
19850049,2,3,1
19850049,2,4,1
19850049,2,5,1
19850049,3,4,1
19850049,3,5,1
19850050,1,2,2
19850050,1,3,2
19850050,2,3,1
19850051,1,2,2
19850051,1,3,2
19850051,1,4,2
19850051,1,5,2
19850051,2,3,1
19850051,2,4,2
19850051,2,5,2
19850051,3,4,2
19850051,3,5,2
19850051,4,5,2
19850052,1,2,2
19850052,1,3,2
19850052,2,3,2
19850053,1,2,1
19850053,4,5,1
19850054,1,2,1
19850054,2,4,1
19850054,2,5,1
19850054,3,5,1
19850055,1,2,1
19850056,1,2,1
19850056,1,3,1
19850056,1,4,1
19850056,2,3,1
19850056,2,4,2
19850056,3,4,1
19850057,1,2,2
19850057,1,3,2
19850057,2,3,2
19850058,1,2,2
19850058,1,3,1
19850058,1,4,1
19850058,1,5,1
19850058,2,3,1
19850058,2,4,2
19850058,2,5,2
19850058,3,4,1
19850058,3,5,2
19850058,4,5,2
19850059,1,2,2
19850059,1,4,1
19850059,1,5,1
19850059,3,4,2
19850059,3,5,1
19850059,4,5,1
19850060,1,4,1
19850061,1,3,1
19850061,2,5,1
19850061,3,5,1
19850062,1,3,1
19850062,3,4,2
19850064,1,2,1
19850064,1,3,1
19850064,1,5,2
19850066,1,2,1
19850067,1,2,2
19850067,1,3,2
19850067,1,4,1
19850067,2,3,2
19850067,2,4,1
19850067,3,4,1
19850067,4,5,1
19850068,1,2,2
19850068,1,3,2
19850068,2,3,2
19850070,1,3,1
19850070,1,4,1
19850070,1,5,1
19850070,2,3,1
19850070,2,4,1
19850070,2,5,1
19850070,3,4,1
19850070,3,5,2
19850070,4,5,1
19850071,1,2,1
19850071,1,3,1
19850071,2,3,1
19850072,1,2,1
19850072,1,3,1
19850072,1,4,2
19850072,1,5,2
19850072,2,3,1
19850072,2,4,2
19850072,2,5,1
19850072,3,4,1
19850072,3,5,1
19850072,4,5,2
19850073,1,2,1
19850073,1,3,1
19850073,1,4,1
19850073,2,3,2
19850073,2,4,1
19850073,4,5,1
19850077,1,2,1
19850077,4,5,2
19850078,1,2,1
19850078,1,3,1
19850078,2,3,1
19850079,1,2,1
19850079,1,3,1
19850079,1,4,2
19850079,2,4,2
19850079,3,4,1
19850080,1,2,1
19850080,1,4,1
19850080,2,4,2
19850080,2,5,1
19850080,3,4,2
19850080,3,5,1
19850080,4,5,2
19850081,1,2,1
19850083,1,2,2
19850083,1,3,2
19850083,1,4,2
19850083,2,3,2
19850083,2,4,2
19850083,3,4,2
19850084,1,2,1
19850084,1,3,2
19850084,1,4,1
19850084,1,5,1
19850084,3,4,1
19850085,1,4,1
19850085,3,5,2
19850088,1,2,1
