"CASEID","AGE","EDUC","RACE","SEX","RELIG","AGE_CATEGORICAL","EDUC_CATEGORICAL","NUMGIVEN","HAPPY","HEALTH","PARTYID","WTSSALL"
19850001,33,16,"white","male","jewish","30s","College",6,2,2,1,1.0363
19850002,49,19,"white","male","catholic","40s","Post Graduate",6,2,1,4,1.0363
19850003,23,16,"white","female","jewish","20s","College",5,2,1,1,1.0363
19850004,26,20,"white","female","jewish","20s","Post Graduate",5,2,2,0,0.5181
19850005,24,17,"white","female","catholic","20s","Post Graduate",5,2,2,2,0.5181
19850006,45,17,"white","male","none","40s","Post Graduate",4,2,2,1,0.5181
19850007,44,18,"white","female","jewish","40s","Post Graduate",6,2,1,1,0.5181
19850008,56,12,"white","female","catholic","50s","HS",5,2,2,4,2.0725
19850009,85,7,"white","female","catholic","60+","No HS",2,2,3,0,1.0363
19850010,65,12,"white","female","catholic","60+","HS",2,2,2,1,0.5181
19850011,32,16,"hispanic","male","catholic","30s","College",3,1,3,1,1.0363
19850012,71,10,"black","male","protestant","60+","No HS",0,3,4,0,1.5544
19850013,79,4,"black","female","protestant","60+","No HS",3,1,1,1,0.5181
19850014,73,4,"black","male","protestant","60+","No HS",2,3,4,1,1.0363
19850015,77,7,"black","female","protestant","60+","No HS",0,2,3,0,0.5181
19850016,30,14,"hispanic","female","catholic","30s","Some College",3,2,2,5,1.0363
19850017,69,12,"white","female","jewish","60+","HS",5,3,3,1,1.0363
19850018,59,3,"hispanic","male","catholic","50s","No HS",1,1,2,1,1.0363
19850019,67,7,"white","female","jewish","60+","No HS",0,1,3,1,1.0363
19850020,68,8,"white","male","catholic","60+","No HS",4,2,2,6,1.0363
19850021,28,12,"white","female","catholic","20s","HS",5,2,1,5,1.0363
19850022,59,11,"white","female","catholic","50s","No HS",4,1,1,0,1.0363
19850023,69,8,"white","female","catholic","60+","No HS",2,2,2,1,1.0363
19850024,27,14,"hispanic","female","catholic","20s","Some College",2,1,2,5,1.0363
19850025,81,12,"black","male","protestant","60+","HS",4,2,3,1,0.5181
19850026,42,12,"black","male","none","40s","HS",2,2,2,3,0.5181
19850027,38,16,"black","female","catholic","30s","College",2,3,1,2,0.5181
19850028,54,12,"white","female","jewish","50s","HS",4,3,2,5,2.0725
19850029,18,11,"black","male","catholic","20s","No HS",3,3,2,0,1.0363
19850030,32,12,"asian","male","other","30s","HS",1,1,1,4,1.0363
19850031,56,16,"white","female","jewish","50s","College",6,2,1,1,1.0363
19850032,32,16,"white","female","jewish","30s","College",5,1,2,1,1.0363
19850033,30,14,"asian","female","none","30s","Some College",1,2,3,3,1.0363
19850034,27,16,"white","male","catholic","20s","College",3,2,2,5,1.0363
19850035,24,10,"black","female","protestant","20s","No HS",2,2,2,3,0.5181
19850036,84,7,"white","male","jewish","60+","No HS",1,2,3,1,0.5181
19850037,54,9,"hispanic","female","catholic","50s","No HS",3,2,3,1,1.5544
19850038,41,5,"black","female","protestant","40s","No HS",4,3,3,1,1.0363
19850039,NA,13,"black","female","protestant",NA,"Some College",0,2,2,1,1.5544
19850040,31,11,"white","female","protestant","30s","No HS",5,2,1,4,1.0363
19850041,32,10,"white","female","protestant","30s","No HS",2,2,3,3,1.0363
19850042,56,12,"black","male","protestant","50s","HS",0,2,1,0,1.0363
19850043,58,12,"black","male","protestant","50s","HS",5,2,3,1,1.5544
19850044,40,13,"white","female","catholic","40s","Some College",2,2,3,1,1.5544
19850045,68,16,"white","male","jewish","60+","College",5,3,3,0,1.0363
19850046,26,12,"white","male","catholic","20s","HS",3,1,1,4,0.5181
19850047,59,12,"white","female","jewish","50s","HS",2,3,2,1,0.5181
19850048,33,14,"white","female","protestant","30s","Some College",5,2,2,3,1.0363
19850049,27,15,"white","female","catholic","20s","Some College",5,2,2,5,0.5181
19850050,23,12,"white","male","catholic","20s","HS",3,2,2,3,1.5544
19850051,49,12,"white","male","catholic","40s","HS",5,2,2,6,1.5544
19850052,38,14,"asian","female","other","30s","Some College",3,2,1,1,1.0363
19850053,24,15,"white","female","protestant","20s","Some College",5,2,1,4,0.5181
19850054,32,12,"white","female","catholic","30s","HS",5,2,2,3,1.0363
19850055,33,13,"white","female","catholic","30s","Some College",2,2,2,1,1.0363
19850056,40,12,"white","female","catholic","40s","HS",4,2,2,5,1.0363
19850057,24,14,"white","male","protestant","20s","Some College",3,1,2,0,3.6269
19850058,29,15,"white","male","catholic","20s","Some College",6,2,1,3,1.0363
19850059,28,15,"white","female","other","20s","Some College",5,2,1,0,0.5181
19850060,39,20,"white","female","other","30s","Post Graduate",5,2,1,2,0.5181
19850061,41,13,"white","male","none","40s","Some College",5,2,1,5,0.5181
19850062,32,16,"white","male","protestant","30s","College",4,2,2,1,1.0363
19850063,31,12,"white","male","protestant","30s","HS",1,3,2,0,0.5181
19850064,28,16,"white","female","none","20s","College",5,2,2,1,0.5181
19850065,69,10,"white","female","protestant","60+","No HS",1,2,3,0,0.5181
19850066,37,16,"asian","male","other","30s","College",2,3,3,3,0.5181
19850067,26,17,"white","male","none","20s","Post Graduate",5,3,1,2,0.5181
19850068,30,13,"black","female","none","30s","Some College",3,2,2,0,1.0363
19850069,22,17,"white","female","protestant","20s","Post Graduate",5,2,1,1,1.5544
19850070,36,15,"white","male","other","30s","Some College",5,3,2,2,0.5181
19850071,32,18,"asian","female","none","30s","Post Graduate",3,1,2,3,1.0363
19850072,38,15,"white","female","none","30s","Some College",5,2,2,2,0.5181
19850073,40,15,"white","female","protestant","40s","Some College",5,2,2,3,1.0363
19850074,78,8,"white","female","protestant","60+","No HS",1,2,3,6,1.0363
19850075,42,16,"white","female","none","40s","College",1,3,4,0,0.5181
19850076,79,12,"white","female","jewish","60+","HS",0,2,4,2,0.5181
19850077,36,16,"white","female","catholic","30s","College",5,1,2,1,0.5181
19850078,37,16,"white","female","protestant","30s","College",3,2,1,2,1.0363
19850079,38,12,"white","female","protestant","30s","HS",4,2,1,1,1.0363
19850080,27,12,"white","female","protestant","20s","HS",5,2,1,4,1.5544
19850081,39,14,"white","female","protestant","30s","Some College",2,2,1,5,1.0363
19850082,40,14,"white","female","catholic","40s","Some College",1,2,1,6,1.0363
19850083,63,14,"white","female","protestant","60+","Some College",4,1,4,5,1.0363
19850084,43,16,"white","male","protestant","40s","College",5,2,1,1,1.0363
19850085,49,16,"white","female","catholic","40s","College",5,2,1,6,1.5544
19850086,87,12,"white","female","protestant","60+","HS",2,2,2,6,0.5181
19850087,59,16,"white","female","protestant","50s","College",5,1,1,6,1.5544
19850088,39,16,"white","female","catholic","30s","College",5,1,1,6,1.5544
19850089,56,18,"asian","female","none","50s","Post Graduate",6,1,2,0,1.0363
19850090,75,10,"white","male","protestant","60+","No HS",1,2,4,6,0.5181
19850091,79,12,"white","male","protestant","60+","HS",4,2,3,4,1.0363
19850092,46,14,"black","female","protestant","40s","Some College",2,2,2,0,1.0363
19850093,44,13,"black","male","protestant","40s","Some College",4,2,3,1,2.0725
19850094,49,12,"white","female","protestant","40s","HS",2,2,4,4,1.0363
19850095,32,14,"black","female","protestant","30s","Some College",1,1,1,0,1.0363
19850096,38,12,"hispanic","female","catholic","30s","HS",1,2,2,3,0.5181
19850097,53,16,"white","male","other","50s","College",1,3,3,4,1.0363
19850098,82,13,"hispanic","female","catholic","60+","Some College",1,1,4,6,0.5181
19850099,22,12,"white","male","protestant","20s","HS",1,2,1,1,0.5181
19850100,89,12,"white","female","protestant","60+","HS",5,2,2,0,1.5544
19850101,52,13,"white","female","protestant","50s","Some College",5,1,1,1,1.0363
19850102,83,15,"white","male","protestant","60+","Some College",4,1,2,6,1.0363
19850103,58,12,"white","female","catholic","50s","HS",4,1,2,5,1.0363
19850104,28,14,"white","female","catholic","20s","Some College",4,1,1,4,1.0363
19850105,58,16,"white","male","none","50s","College",5,2,1,2,1.5544
19850106,52,14,"white","female","protestant","50s","Some College",5,2,2,2,1.5544
19850107,43,12,"white","male","catholic","40s","HS",3,2,1,6,1.0363
19850108,65,16,"white","male","protestant","60+","College",4,2,3,6,0.5181
19850109,51,18,"white","female","jewish","50s","Post Graduate",5,2,2,2,0.5181
19850110,64,7,"white","male","protestant","60+","No HS",3,1,3,3,1.5544
19850111,41,11,"white","female","protestant","40s","No HS",3,2,2,0,1.5544
19850112,50,16,"asian","male","catholic","50s","College",3,1,1,2,2.5907
19850113,29,16,"black","male","catholic","20s","College",3,2,1,2,0.5181
19850114,46,12,"hispanic","female","catholic","40s","HS",3,2,1,0,1.0363
19850115,51,11,"hispanic","male","catholic","50s","No HS",2,3,1,0,0.5181
19850116,52,19,"white","female","none","50s","Post Graduate",5,1,1,0,0.5181
19850117,58,10,"hispanic","male","catholic","50s","No HS",4,2,3,0,1.0363
19850118,67,10,"white","female","catholic","60+","No HS",3,3,3,0,0.5181
19850119,27,11,"hispanic","male","catholic","20s","No HS",4,2,2,1,1.0363
19850120,69,12,"black","male","protestant","60+","HS",3,1,2,0,2.0725
19850121,24,10,"black","female","protestant","20s","No HS",1,3,2,2,0.5181
19850122,39,12,"black","male","protestant","30s","HS",1,2,2,1,1.0363
19850123,19,11,"black","male","protestant","20s","No HS",5,2,1,5,1.0363
19850124,34,18,"white","female","jewish","30s","Post Graduate",2,1,1,2,1.0363
19850125,76,12,"white","female","protestant","60+","HS",0,2,3,6,0.5181
19850126,55,16,"white","male","protestant","50s","College",2,1,1,1,1.0363
19850127,19,11,"white","male","protestant","20s","No HS",2,2,1,5,1.5544
19850128,57,12,"white","female","protestant","50s","HS",4,3,4,0,1.0363
19850129,42,20,"white","male","none","40s","Post Graduate",3,1,1,1,1.0363
19850130,30,16,"white","female","protestant","30s","College",5,2,1,5,1.0363
19850131,41,16,"white","female","protestant","40s","College",5,2,1,5,1.0363
19850132,40,15,"white","female","catholic","40s","Some College",5,1,2,3,1.0363
19850133,43,12,"white","female","protestant","40s","HS",3,3,1,5,0.5181
19850134,58,20,"white","male","none","50s","Post Graduate",3,2,1,4,1.5544
19850135,50,17,"white","male","protestant","50s","Post Graduate",5,2,2,5,1.0363
19850136,28,14,"white","male","catholic","20s","Some College",6,2,2,6,0.5181
19850137,62,16,"white","male","catholic","60+","College",4,1,1,6,1.0363
19850138,27,14,"white","female","none","20s","Some College",5,2,2,2,1.0363
19850139,45,18,"white","male","catholic","40s","Post Graduate",6,2,1,4,1.0363
19850140,57,14,"white","male","protestant","50s","Some College",2,2,3,4,1.5544
19850141,47,11,"white","female","protestant","40s","No HS",2,2,2,5,2.0725
19850142,34,16,"white","male","catholic","30s","College",2,1,1,2,1.0363
19850143,24,12,"white","female","catholic","20s","HS",3,1,1,6,1.0363
19850144,26,9,"white","female","none","20s","No HS",1,2,4,1,1.0363
19850145,49,12,"white","female","catholic","40s","HS",3,1,1,5,1.5544
