"CASEID","AGE","EDUC","RACE","SEX","RELIG","AGE_CATEGORICAL","EDUC_CATEGORICAL","NUMGIVEN","HAPPY","HEALTH","PARTYID","WTSSALL","AGE1","AGE2","AGE3","AGE4","AGE5","EDUC1","EDUC2","EDUC3","EDUC4","EDUC5","RACE1","RACE2","RACE3","RACE4","RACE5","SEX1","SEX2","SEX3","SEX4","SEX5","RELIG1","RELIG2","RELIG3","RELIG4","RELIG5","AGE_CATEGORICAL1","AGE_CATEGORICAL2","AGE_CATEGORICAL3","AGE_CATEGORICAL4","AGE_CATEGORICAL5","EDUC_CATEGORICAL1","EDUC_CATEGORICAL2","EDUC_CATEGORICAL3","EDUC_CATEGORICAL4","EDUC_CATEGORICAL5","TALKTO1","TALKTO2","TALKTO3","TALKTO4","TALKTO5","SPOUSE1","SPOUSE2","SPOUSE3","SPOUSE4","SPOUSE5","KIN1","KIN2","KIN3","KIN4","KIN5","CLOSE12","CLOSE13","CLOSE14","CLOSE15","CLOSE23","CLOSE24","CLOSE25","CLOSE34","CLOSE35","CLOSE45"
19850001,33,16,"white","male","jewish","30s","College",6,2,2,1,1.0363,32,29,32,35,29,18,16,18,16,13,"white","white","white","white","white","male","female","male","male","female","jewish","protestant","jewish","jewish","catholic","30s","20s","30s","30s","20s","Post Graduate","College","Post Graduate","College","Some College",2,1,3,3,2,2,1,2,2,2,0,1,0,1,0,2,1,1,1,2,2,2,1,1,1
19850002,49,19,"white","male","catholic","40s","Post Graduate",6,2,1,4,1.0363,42,44,45,40,50,12,18,16,12,18,"white","white","white","white","white","female","male","male","female","male","catholic","jewish","jewish","catholic","jewish","40s","40s","40s","40s","50s","HS","Post Graduate","College","HS","Post Graduate",1,2,1,1,1,1,2,2,2,2,1,0,0,0,0,1,1,2,2,0,2,0,2,1,2
19850003,23,16,"white","female","jewish","20s","College",5,2,1,1,1.0363,25,24,46,21,35,16,12,18,16,18,"white","white","white","white","white","female","female","female","female","female","jewish","jewish","jewish","jewish","jewish","20s","20s","40s","20s","30s","College","HS","Post Graduate","College","Post Graduate",2,2,2,1,2,2,2,2,2,2,0,0,1,1,0,1,1,1,NA,1,1,NA,2,NA,0
19850004,26,20,"white","female","jewish","20s","Post Graduate",5,2,2,0,0.5181,26,27,28,27,25,18,18,18,18,16,"white","white","white","white","white","female","male","male","male","female","none","protestant","none","none","jewish","20s","20s","20s","20s","20s","Post Graduate","Post Graduate","Post Graduate","Post Graduate","College",1,1,3,2,1,2,2,2,2,2,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
19850005,24,17,"white","female","catholic","20s","Post Graduate",5,2,2,2,0.5181,44,25,20,19,12,12,13,13,13,8,"white","white","white","white","white","female","female","male","male","male","catholic","catholic","catholic","catholic","catholic","40s","20s","20s","20s","20s","HS","Some College","Some College","Some College","No HS",2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
19850006,45,17,"white","male","none","40s","Post Graduate",4,2,2,1,0.5181,40,35,44,35,NA,16,16,18,16,NA,"white","white","white","white",NA,"male","male","male","female",NA,"protestant","none","none","protestant",NA,"40s","30s","40s","30s",NA,"College","College","Post Graduate","College",NA,4,2,2,1,NA,2,2,2,2,NA,1,0,0,0,NA,0,1,0,NA,1,1,NA,1,NA,NA
19850007,44,18,"white","female","jewish","40s","Post Graduate",6,2,1,1,0.5181,33,43,41,40,37,18,16,13,18,13,"white","white","white","white","white","female","female","female","female","male","jewish","jewish","none",NA,"jewish","30s","40s","40s","40s","30s","Post Graduate","College","Some College","Post Graduate","Some College",2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0
19850008,56,12,"white","female","catholic","50s","HS",5,2,2,4,2.0725,40,50,40,50,65,16,NA,12,16,16,"hispanic","white","white","black","other","female","male","female","male","male",NA,NA,NA,NA,NA,"40s","50s","40s","50s","60+","College",NA,"HS","College","College",2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
19850009,85,7,"white","female","catholic","60+","No HS",2,2,3,0,1.0363,45,84,NA,NA,NA,12,8,NA,NA,NA,"white","white",NA,NA,NA,"female","male",NA,NA,NA,"catholic","catholic",NA,NA,NA,"40s","60+",NA,NA,NA,"HS","No HS",NA,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850010,65,12,"white","female","catholic","60+","HS",2,2,2,1,0.5181,65,65,NA,NA,NA,12,13,NA,NA,NA,"white","white",NA,NA,NA,"female",NA,NA,NA,NA,"catholic","catholic",NA,NA,NA,"60+","60+",NA,NA,NA,"HS","Some College",NA,NA,NA,2,1,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
