obs,text
39628,"Ontogenic variables, such as the experience of the parent's abuse as a child and current_depression or substance abuse, were expected_to_have_a_greater_impact on the risk of child_abuse than microsystem and exosystem_variables such as family functioning, domestic violence, income, community safety, and social support. It was expected that social_support would have the greatest_impact of these broader system variables. It is believed that attachment_style_mediates the relationship between the ontogenic system level and microsystem/exosystem level variables. Secondary data were used to examine these systemic impacts. The dataset was obtained from the National_Data_Archive on Child Abuse and Neglect. The sample_consisted of 265 women, the majority of whom were African-American and who had a high_school_education or GED. The majority of these women were employed, while others were in school or a training_program at the time of the interview. Over 50 percent_of_the_sample had never been married. A multiple_regression_analysis_was_conducted_to_examine_the_impact of factors from three systems levels on the risk of child abuse. Variables were entered into the multiple_regression equation after they had demonstrated significance in bi-variate analyses with Bonferroni corrections. Mother's age was entered first in this equation in order to control for any potential effect of this variable as it has been shown_to_be_significantly_related_to_risk of abuse. Entered in the second step were the ontogenic variables found to be significant: depression and locus of control. In the third and final step, the microsystem and exosystem_variables found_to_have_a_significant_impact on the risk of abuse were entered: the number of social supports available to the mother, the mother's assessment_of_family_functioning and the frequency of domestic_violence perpetrated against her. Locus of control and mother's depression were demonstrated to be the most important predictors in the equation. Domestic violence_and_social_support were the next most important predictors, with family_functioning becoming non-significant in this equation. This supports the hypothesis that ontogenic variables have the greater_impact in predicting risk of physical abuse. A path_analysis_was_conducted_in_order_to_examine the possible time order and causal_nature of these variables. All variables were included in this analysis. The only variables found to impact the risk of physical_abuse were depression and locus of control. The only route from experiencing childhood_sexual_abuse to the risk of committing child_physical_abuse was through the level of depression currently being experienced by the mother. Mother's locus_of_control impacted the risk of abuse directly as well as through its impact on depression. Risk of abuse was not influenced directly by the experience_of_sexual abuse."
39745,"This study_analyzes attitudes of area residents toward mineral_extraction and processing in the Northern Great_Plains_region of the U.S. Three major_dimensions of people's attitudes toward energy development are examined: (1) belief in economic_opportunities_provided by development; (2) political effects of mineral development; and (3) concern about protecting the environment. Previous empirical studies of attitudes toward the economic opportunity afforded by industrial_development suggest that there is little or no significant difference in belief in economic opportunity between people who have experienced development and those who have not had such experience. Previous studies, however, have paid_little_attention_to_the_effect type of development might have on attitudes toward economic opportunity. It is, therefore, postulated in this study that type of development also has little effect on belief in economic opportunity. The literature reviewed suggests that attitudes_toward_political_change are not strongly_affected by experience with development. A dominant theme_underlying the expectations about attitudes_toward_political changes accompanying development is the distrust of outsiders by inhabitants of the region. Kraenzel (1955) and Toole (1976) describe numerous_ways in which development of the Great_Plains has been dominated by the eastern establishment, often to the detriment of inhabitants of the region. Since energy development is one more example of development which is controlled_primarily from cities outside of the region, it is to be expected that the political changes accompanying energy development will be like changes experienced by inhabitants_of_the_region with earlier developments. Such changes are unlikely to be perceived as desirable by local people. The theoretical_rationale for expectations of attitudes toward the environment is based substantially on research by Vogt (1955) and Kluckhohn_and_Strodtbeck (1961) which stresses the view that western people_perceive the natural_environment as something to be mastered. It is concluded from these studies that inhabitants of the Plains would favor development_of_natural_resources even if such development resulted in environmental degradation. Surveys from six counties in the region permit an examination of the relationship of these attitudes to the level of development occurring and to political_and_economic_interests in an effort_to_understand better the process_of_social change. A primary_focus of the analysis is the effect which length of experience with development and different types of development have on attitudes. The analysis also focuses on differences among the major economic_interest_groups in rural_communities where mineral development is taking place. Data for the analysis come from studies carried out by researchers at the University_of_Wyoming from 1973 to 1976. The survey instruments were part of social_impact_assessment_studies funded by Atlantic Richfield Company, the Missouri Basin Power Project, and the Old West Regional Commission."
49780,"This dissertation is an experiment in thinking with the story, not about the story in order to erase_the_boundaries between analysis and narrative. CASA, Community Action Stops Abuse, is the context for this research on the lived realities and meaning of working with an empowerment philosophy. A University-Community Initiative (UCI) grant with CASA and the University_of_South_Florida is the occasion to study the communicative_aspects of individual_and_collective perceptions of empowerment. The dissertation_focuses broadly on two UCI project goals: developing a collaborative relationship and producing a booklet of stories about the work of paid_staff and volunteers. The heart_of_the_dissertation is my relationship with the CASA workers and how scholarship and advocacy intersect with a philosophy of reciprocal and compassionate empowerment. This layered account of my CASA experiences is framed by my observations at the National_Coalition_Against_Domestic Violence conference. The narrative methodology supports a feminist_philosophy that extends the personal and the political to the personal as the theoretical. The CASA workers and I engage in what Kenneth Gergen calls poetic activism, writing or speaking about something in order to cause change, a form_of_communication activism. My dissertation is based on feminist_research principles in the form of engaged_scholarship and participatory_action_research accomplished through participant_observation and interactive interviews, written as ethnographic narratives, life stories, and autoethnographic stories. I coined_the_term research novel because my research data is reported in a creative, narrative_format that integrates the literature review, methodology, and analysis throughout the story. The boundary between analysis and narrative is dissolved with an emphasis on connected knowing, the language of possibilities, appreciative inquiry, strengths-based service, and positive refraining. Rather than oppositional approaches of either/or thinking, my work embraces the ambiguities, contradictions, multiple_identities and blurred boundaries of our lived experiences. The concept_of_empowerment can be ambiguous, particularly for women who are seeking ways_to_redefine_power and empowerment. An area for further study is the connection between empowerment and the framing of vulnerability, including individuals' perceptions of the paradoxical_nature of compassion for self and others."
18794,"The concepts of parent_empowerment and participation, currently popular in the disability field, that emerge from the American_ideals of equity and choice lose much of their meaning when transplanted within India, where the rigidly_hierarchical culture precludes the rights of low_income_parents with disabled children. This study of the perspectives of low-income Indian_families found both professionals_and_parents culturally conditioned into their roles. The middle-class professionals defined parent_participation in terms of parent_education and provided no forum for the parents' input when making decisions about their child's education; in turn, the parents, always aware of their low_socioeconomic status, did not demand the opportunity to be allowed to participate. The study suggests, one, that arguments_based on the Indian values of social duties and obligations, rather than parental rights, will be more conducive to convincing professionals that parents be given a voice, and, two, that, in time, the deliberate and conscious inclusion of parents by professionals in the decision-making process will lead to a more equitable_distribution_of_power in parent-professional interactions."
17548,"No nationally administered program has come under more fire than our social_welfare system. ""Welfare"" is now a code word for a national bureaucratic program that is destroying local_community_organizations and encouraging long_term dependency primarily among poor, inner city minority citizens. But criticisms of the welfare_state obscure its true size_and_scope as well as misrepresent its program objectives and outcomes. In addition, such criticisms do not correspond with the actual configuration of the American_welfare_state since services are organized and implemented_at_the_local_level by community and faith-based organizations. Local governments retain jurisdiction over the planning_process as it affects service location, and despite the emergence of the welfare state, its programs_continue to be characterized by four key elements. These include (1) the third party_organizational structure; (2) the decentralized and separate jurisdictions of federal_and_local governments; (3) the fundamental_role of the local_planning process; and (4) the class_and_racial_segregation characterizing American cities. These factors raise an important question: If local_forces continue to regulate the organization of services, what has changed since the emergence of the welfare state? This dissertation_attempts_to_answer_this_question_by_examining the third party organization_of_the_welfare_state and the local_political and geographical constraints placed upon community_organizations that deliver its services. I investigate the functions at the local_level of one particular segment of the welfare state: community and faith-based relief services and shelters provided to homeless people. Using New York_City as my study area, I conduct analyses for time periods before (1920s) and after (1990s) the emergence of the welfare state. Key findings indicate that despite the emergence of the welfare state, community and faith-based organizations continue_to_provide_services while local governments continue to retain jurisdiction over the planning process. The most prominent faith-based organizations_providing_services are those that have broad religious affiliations such as the Y.M.C.A., Catholic_Charities and the Jewish Board of Family and Children's Services. These organizations continue to deliver_services as they did prior to the emergence of the welfare state. However, today the federal_government has a more significant_role in funding distribution--even for these faith-based organizations. Second, the socioeconomic_characteristics_of_neighborhoods where welfare_services locate are very similar to that of the 1920s. In addition, during both time periods, the concentrated presence of welfare_services does not negate the presence of more mainstream_community institutions, particularly churches, schools and libraries."
6848,"After forty years' compulsory Guoyu policy, the Taiwanese may be experiencing a language_shift from Minnanyu (mother tongue of their ethnic group) to Guoyu (the national language). Meanwhile, the dramatic socio-economic and political improvements by the Taiwanese in the past_ten_years have enabled them to compete with the Mainlanders and thus they have a stronger claim to have the right to promote the status of their language and maintain it. This study_was_designed_and_conducted_in_order_to_investigate whether or not the Taiwanese are experiencing language_shift or language maintenance, with a focus on analyzing its social_and_political determinants. In this study, both survey_and_interview techniques were used for quantitative_and_qualitative measurements of this linguistic phenomenon. From the results of the questionnaires and the face-to-face interviews, evidence of language_shift and the distributions of the two languages were discovered. First, proficiency in Guoyu by the Taiwanese is increasing, while that in Minnanyu is decreasing. Second, Guoyu is used in all domains, even for home communication and religious purpose. Moreover, choices between Guoyu and Minnanyu seem not to have been substantially affected by attitudes toward the two ethnic_groups and the two languages, or by objection to the language policy. More importantly, younger Taiwanese do not demand a one-to-one relationship between Taiwanese ethnic_identity and Minnanyu, and they tend to keep dual Taiwanese_and_Chinese identities, or even replace their ethnic_identity with a national identity. Lastly, to different extents, age, educational level, gender, and region_of_origin are found_to_be_related to language_choice by the Taiwanese. It is predicted that this language_shift will continue, although at a slow rate, and that Minnanyu will temporarily survive on the oral level as a medium serving limited functions, mainly to satisfy partial needs for domestic business exchange, for cross-generational communication with the old (especially those over 60 years old) in the Taiwanese families, and for religion. Eventually, the transformation of the Taiwanese_attitudes towards their own ethnic_identity and their heavy_dependence on Guoyu will bring about the functional demise of Minnanyu."
34226,"This study examines the genealogy of Wordsworth's conception of a ""spiritual community binding together the living and the dead."" His early_poems_explore the limits and foundations of this ""community,"" often envisioning its structure as triadic, articulated between mourners and the dead. One can schematize and temporalize this ""binding"" as involving first a loss that, when subsequently expressed in memorializing acts, leads to mournful bonds of connection. It is this socially_constitutive_relationship between these dead and living that each of the three chapters of my thesis_considers in close readings of Wordsworth's poetry. The first chapter_examines_the_ways in which the dead in The Vale of Esthwaite (1787) and An Evening Walk (1793-94) underlie quests for social-domestic connection. In the former poem a lack of mourning is the basis for tributes to grief paid as underworld descents. These katabases in turn lead to topographies in which, as in An Evening Walk, lie promissory traces of a bond between the dead and living. The Salisbury_Plain poems (1793-96), the subject of Chapter Two, similarly employ a quest-like structure to transgress alienating social and other limitations. Amid a desolate landscape at the outskirts of society, ghostly rituals emblematize a desired messianic power in narrative to bind and unbind the living and dead so as to institute an assembly of mourners and mourned. Community is here the dead speaking or spoken, a dialectic of ghostly crossings at the social-semantic margins of life and death. Chapter Three analyzes the The Ruined_Cottage (1797), an intertextual_work in which community is also connected to a revisitation of some hidden grief, with mournful tales leading to sources of otherness and loss owed to breaches of connection. In these memorial, allegorical meetings of alienated others Wordsworth thus locates a power to bind the living in relation to the dead. Hence, during a decade of upheaval and death, Wordsworth's early_poems envision the ""binding"" power of the dead as a basis for constituting and conserving English community at its own topographical and mortal margins."
12683,"The dissertation_examines_the_intersection_of_art_and_politics in the work of Finland's national painter, Axel Gall&eacute;n (1865-1931) (after 1907, Akseli Gall&eacute;n-Kallela) during the pre-independence period that witnessed Finland's evolution from a buffer_zone of the Russian empire into a self-conscious and determined modern nation. In contrast_to_earlier_investigations of Gall&eacute;n's art, the study_focuses upon the inner mechanisms of regional nationalism (the politicization of an indigenous people's history and cultural heritage) as witnessed in the artist's appropriation of Finnish oral traditions and fading regional customs. Examined in detail are Gall&eacute;n's relations to his patrons, French_and_German artistic circles, Finnish rural_inhabitants of different social classes, and his colleagues in the nationalist Young Finland circle. The dichotomy between Finno-Swedish and Finno-Finnish culture as evinced in Gall&eacute;n's art is considered as a civil_conflict spawned by severe economic, social, and political inequities between different segments of the Finnish_population historically. Also, the schism between city and country, mirrored in the clash between literate_and_oral cultures, is explored as a polarity that shaped Gall&eacute;n's constructed image of modern Finland. A secondary_objective of the dissertation is to re-evaluate misunderstood aspects of Gall&eacute;n's career (his relation to European Naturalism and Symbolism, for example) and to introduce new documentary and visual material. The rediscovery of Gall&eacute;n's 1880s masterpiece, Peasant Life (1887), which was thought destroyed in World_War I, opens a new path for understanding the amalgamation of real_and_fictive elements in Gall&eacute;n's naturalist works. Examining the significance of biblical_motifs in the artist's 1890s works, neglected in earlier scholarship, illuminates_the_intersection of international and regional myths in late nineteenth-century Finnish art. Finally, an analysis of Gall&eacute;n's mythological works inspired by Finland's national epic, the Kalevala, demonstrates how the artist refuted the autonomy of written_language and assumed the mantel of a painter-creator within a shifting socio-political context. Although thematically and geopolitically anchored to Finnish terrain, the dissertation_seeks_to_make_a_significant_contribution to broader re-examinations of European nationalist movements and to investigations of art_inspired by oral cultural traditions."
1170,"Prime Time Activism locates itself in two literatures, social_movement theory, particularly the literature_on_political discourse, and secondly, sociological_literature_addressing the mass media. Building on two case studies, one of a union, another of an anti-intervention organization, Prime Time Activism treats news as an arena in which social movements battle establishment institutional interests. Ryan begins_with_a_critique of three theoretical models in media sociology: gatekeeper studies like Herbert Gans; cultural studies like Todd Gitlin; and structuralist studies like Noam Chomsky. She proceeds to argue for a constructionist_model which draws from each of the three traditions but also grounds itself in a notion_of_political discourse. Through the case studies, Ryan pursues two themes; how social movements frame messages, and how movements address problems gaining access_to_mainstream_media institutions. Ryan argues that in framing their messages, social movements must address a range of tasks: diagnostic (what is the issue), prognostic (what is the movement strategy, its understanding of targets and allies), and motivational (why act). Therefore, using the mass_media_to_convey a movement message requires_integration of media strategy with broader_political strategy. In relation to access, she argues that social movements need to develop_a_deep_understanding of mainstream_media institutions and the cultural/structural constraints within which media_professionals operate. In a final chapter, she summarizes the successes achieved in each case study, the costs incurred, and draws some general conclusions."
34437,"This dissertation_examines_the_cultural performance of secrecy and confession, working particularly through its dramatic_representation in western drama from the ancient Greeks to the present. While confession is a social_formation and cultural trope studied and discussed in a wide_variety of contexts--including sociology, psychology, theology, legal studies, linguistics, and literary studies--systematic attention has not been paid to its performative underpinnings. My dissertation uses a broad critical_discourse to help frame_and_interpret how secrecy and confession work within the theatre, while at the same time using these examples to help articulate the cultural stakes and social mechanics at play in our broad obsession with secrecy and the confessional_mode in contemporary society."
